wof:id,sg:id
185838027,SG_4WmnsEPFL2dgW1xRT7VcZH_48.928573_-104.012641@1294163950
370978005,SG_76Qljmw2vrP0xHgirDI5EB_46.068771_-97.799240@1294189808
185993033,SG_3hHZHhGn3Due2akcWYOgJL_48.778749_-104.047993@1294163950
370982239,SG_00KTteoKMIJ3U0KMCfmBLV_46.109839_-97.951671@1294189808
370982759,SG_6kTSgXWDlZPUifcowyKOsV_46.140807_-98.093509@1294189808
370982941,SG_7jvgGuLCYY9Z9LDM2dBeXJ_45.973982_-102.350122@1294189808
370995213,SG_7Jw2HI14vRYCzGResvc1Zz_46.037420_-97.798311@1294189808
386930339,SG_2SJ4Xs4XewhHaMYxoVC42Y_46.137674_-98.083634@1294189808
386938991,SG_5see7c4gAmqVRlRb4wcSsV_46.143497_-97.840745@1294189808
371001423,SG_690KNTPhXeF4uMc2gSZPLy_46.142046_-98.088871@1294189808
386951731,SG_2vLLe76nwu4iZYYWnDFsRC_46.136700_-98.091948@1294189808
371008383,SG_5AkGoEg7FtEsRbS1mWBZCR_46.134607_-98.085317@1294189808
371023243,SG_3D2IO5Csu3wmUdacrsnATU_45.996939_-98.736441@1294189808
386958107,SG_2JxQGWs4xz5kLU4lSKjLn3_45.944587_-98.382205@1294189808
386968981,SG_3vu9W9bpNg2VvmasQtbyf6_46.137791_-98.090616@1294189808
371024129,SG_4lnyeehRKIodq3Fi0tA8FY_46.131349_-98.090658@1294189808
873536959,SG_4d88F8HMJCGuVKMQhazUXo_47.472752_-100.844059@1294165850
873534993,SG_0jsSlNFWXOxZSXG5mi7JDz_46.825091_-100.748834@1294165850
873538013,SG_4XDPe58y7c5OwFb3uGTNPD_47.932310_-97.043161@1294165850
873536961,SG_7WWmd519Y8deUXpRzRNcv1_46.829836_-100.768071@1294165850
386981065,SG_3zDh3wqGz55DcpOerK5tb6_46.140807_-98.093509@1294189808
873539013,SG_4xQdEJFk10ljysodZWf6eA_46.856874_-96.832497@1294165850
873538021,SG_6GMoPkT6zVwCGJUxZhmn3D_46.623022_-103.842788@1294165850
873536963,SG_3MKP9vFTaS9mO6q3sDSr50_47.885180_-97.035027@1294165850
873538031,SG_4LAei9cjGiICefLBiA3BnQ_47.951307_-102.133424@1294165850
873540005,SG_1TGmtzSeOPOjlQYkIVKurj_46.905873_-102.797781@1294165850
873539027,SG_6jX9g9dCQpR4C7SwsLUurB_46.832119_-96.810435@1294165850
873536965,SG_0gyeQBZkmsToqVq7xYCGRr_46.357044_-98.287316@1294165850
873538039,SG_13Q1QJpepEbFqAwNXLgLd4_47.617067_-99.757225@1294165850
873540011,SG_3pBaMfu7d4YxUqsUGEQcOt_47.543313_-100.246193@1294165850
873539035,SG_5P5w1B6ngjau54AWb7ZYbo_46.811559_-100.734557@1294165850
873536969,SG_0qR1vrPU7AqKE9Gp13Z4Bc_48.207528_-101.306607@1294165850
873540017,SG_1T8gweKswDNJrH9rPiV6Pf_48.042356_-98.343722@1294165850
873539045,SG_4k3d1FJSZJoJiirA7eji2W_46.870831_-96.842336@1294165850
873536971,SG_4jXaLqWyDXoxu1ViP6dTGI_47.902011_-97.044553@1294165850
873540037,SG_1mQ1DFYRO8KdcE1c2lPYK5_47.889454_-97.066707@1294165850
387723491,SG_76JU1EH5tZPQQeyrPyFnFz_46.127561_-98.090543@1294189808
873539059,SG_1aTPfDQ4QF70qsuLbTBKDv_46.816350_-100.773691@1294165850
873536973,SG_5QsrwgQt0SUrBMpOcMbUtG_48.231321_-101.134487@1294165850
873540047,SG_4qYFjdxmTygQLtIHfhc70g_47.679181_-99.138264@1294165850
873539075,SG_2yEbIuXw3bXoUpwsyYo9W4_48.368629_-99.998761@1294165850
873536975,SG_4tiaBY47DBHuOCuy20VQn3_46.839953_-96.798660@1294165850
873541003,SG_62tlzk0ScPz8jCqKXgY5De_48.113886_-98.858615@1294165850
873539083,SG_6kQw2YHfyBCLGCQnXTOE2Y_47.713570_-99.554644@1294165850
873536977,SG_0gKoO0gfGzEKDesgvSFpd4_46.883957_-96.787702@1294165850
873541013,SG_5z5e3GxWvbkHM1OO5ZPD5O_46.852633_-102.747435@1294165850
387728153,SG_7h97ZnZPLK7doKpwIxC0T9_46.008548_-98.124951@1294189808
873539093,SG_41JKV1hP5cmDNDQLSFi9dl_48.368524_-99.996031@1294165850
873536979,SG_5DJT7LAEpOI1UdQlrqBic0_48.235189_-101.294494@1294165850
873540057,SG_0IT5wW3Hr3JuF0lAZoJqp2_48.836529_-102.217990@1294165850
371035631,SG_4GVfsvZBCmROsjHR2xx61I_46.138945_-98.093417@1294189808
873540075,SG_5Acb2TOBIDCxSgBs9tWaQI_46.836270_-100.773132@1294165850
